date,open,high,low,close,adj_close
2024-12-09,600.84423828125,604.0040588477694,600.2480686075606,603.8351542148879,34742700
2024-12-10,598.9761352539062,601.9571047996105,598.3104023701336,601.5298397758172,37234500
2024-12-11,603.6065673828125,604.5703850257809,601.6589789125985,601.9372318289047,28677700
2024-12-12,600.4964599609375,603.3084642377864,600.4964599609375,602.7321871244142,31543800
2024-12-13,600.377197265625,603.2786571751108,598.9860539491438,602.5533073597338,35904700
2024-12-16,602.9407958984375,603.9245667615821,601.370862320769,602.1558291096032,43695200
2024-12-17,600.4566650390625,601.3310876116105,599.0655823267214,600.3573236481737,55773500
2024-12-18,582.5609741210938,602.5632240884986,582.1734335224694,600.1486460207312,108248700
2024-12-19,582.382080078125,589.238334536819,582.1336659404619,587.6087232382334,85919500
2024-12-20,589.3770751953125,593.963254751842,579.1677354036608,580.0252023798975,125716700
2024-12-23,592.9064331054688,593.5145890145251,585.8974879778806,589.1178420766572,57635800
2024-12-24,599.49658203125,599.5365010094702,593.6840502010506,594.2723074608894,33160100
2024-12-26,599.5364990234375,600.673033709029,596.286266618511,597.7019907423149,41219100
2024-12-27,593.2254638671875,595.9871755936747,588.9882104091681,595.7478442826339,64969300
2024-12-30,586.455810546875,589.9652730101648,582.6572397439561,586.1268440800185,56578800
2024-12-31,584.322265625,588.8685869923663,582.6672101639617,588.1407350043717,57052700
2025-01-02,582.8865966796875,589.3571225168115,578.7589985198474,587.6223507588766,50204000
2025-01-03,590.1746215820312,590.8226355752365,584.6711578252952,585.7678951902626,37888500
2025-01-06,593.5744018554688,597.9014122494413,591.8196706515002,594.4817066914783,47679400
2025-01-07,586.8646240234375,595.9572670439192,585.0201967640594,595.6282397198856,60393100
2025-01-08,587.7219848632812,588.8087424972755,583.4448733889237,586.9343761474076,47304700
2025-01-10,578.7489624023438,584.1926084677874,576.8147784906305,584.1228111122192,73105000
2025-01-13,579.6463012695312,580.0052069477971,573.6243775799428,574.0431617233518,47910100
2025-01-14,580.4439086914062,583.2454785560273,576.6153987751911,582.6073834279746,48420600
2025-01-15,591.002197265625,592.1586914849061,587.4329171587094,588.5595329953718,56900200
2025-01-16,589.8656005859375,592.5674339582336,589.1577080719753,592.3879811065466,43319700
2025-01-17,595.7877807617188,597.562410619056,593.8236574580369,595.1696451072651,58070600
2025-01-21,601.2413330078125,601.2513127523598,596.8744645431257,598.8684661853716,42532900
2025-01-22,604.6211547851562,605.9970207281947,603.5443769053658,604.1026949074611,48196000
2025-01-23,607.9212646484375,607.9212646484375,603.7039705508554,603.9830991440912,41152100
2025-01-24,606.1465454101562,608.9481760680518,604.980071516125,607.981053651763,34604700
2025-01-27,597.5723876953125,597.8914352658803,592.8565932019453,593.0260663058995,70361100
2025-01-28,602.7069702148438,603.5543965921443,595.4587545999498,598.818642579001,44433300
2025-01-29,600.0050659179688,602.3181151413867,597.4228069982945,601.9093107246936,37177400
2025-01-30,603.225341796875,604.7806606099443,598.9182910409676,602.1486247469728,39281300
2025-01-31,600.0150146484375,608.1306155740967,599.2473045778189,605.6779717570167,66671500
2025-02-03,595.9771728515625,598.4895734255874,588.7189779992506,590.8924323868896,65857200
2025-02-04,599.9751586914062,600.4935577176606,595.4886551807033,596.0369934393696,33457800
2025-02-05,602.4077758789062,602.5573503352053,596.784737785208,598.8385569367734,30653100
2025-02-06,604.5015258789062,604.6311408496849,600.8225905322549,604.172498579845,35771500
2025-02-07,598.9682006835938,606.3061120968874,598.2503284518037,605.0698408193554,50788500
2025-02-10,603.035888671875,603.683963510289,600.9322316611732,602.2184015940107,26048700
2025-02-11,603.4945678710938,604.0429061552635,600.6232006225274,600.7428358535425,30056700
2025-02-12,601.5504150390625,602.7368484783108,596.714985283226,597.4029183001364,45076100
2025-02-13,607.9013061523438,608.1106982366895,601.3909222732692,602.6670517126223,40921300
2025-02-14,607.8713989257812,609.1575080488998,607.2432835546514,608.1106693810499,26910400
2025-02-18,609.656005859375,609.656005859375,606.5553479941693,609.0478499794664,26749000
2025-02-19,611.0916748046875,611.3907628653418,607.731787077126,608.2502469503253,31011100
2025-02-20,608.5493774414062,609.845466362675,605.1994692243143,609.705871640604,36554000
2025-02-21,598.1406860351562,608.4696001270332,597.6720639975363,608.3300054050101,76519800
2025-02-24,595.4188842773438,601.2214363779027,594.7010120406462,600.2144558088706,50737200
2025-02-25,592.457763671875,596.0968410433766,587.7918070882386,595.3590701652774,58266500
2025-02-26,592.7568359375,597.7817589335975,590.0848810857798,594.1426816591761,43321600
2025-02-27,583.2952880859375,596.226419710782,582.8965242893548,595.0598849968359,74196700
2025-02-28,592.39794921875,592.9363077632394,580.6931691446642,583.8038068836951,88744100
2025-03-03,582.0191650390625,595.5484729311629,578.1607768871335,594.3919179487391,74249200
2025-03-04,575.1298828125,583.63432908105,570.533723601707,577.9713716824587,109648200
2025-03-05,581.311279296875,583.1258280404028,571.3612308662864,574.9603891205771,71230500
2025-03-06,570.9923706054688,578.4299578955523,568.4101116656967,573.7540215413394,80094900
2025-03-07,574.1926879882812,575.6583108183255,563.9335715863721,569.187785314308,81158800
2025-03-10,558.8987426757812,567.8318311729231,553.9237182672504,565.8877282348667,99326600
2025-03-11,554.252685546875,562.3284287982106,550.3644188129149,557.7222898220398,88102100
2025-03-12,557.19384765625,561.4211214289652,552.0293906715008,560.483938216931,69588200
2025-03-13,549.7661743164062,557.4331130450024,548.0314026284964,556.8149774056806,74079400
2025-03-14,561.1220092773438,562.1389695505442,549.835953090791,554.442091848548,62660300
2025-03-17,565.4490356445312,568.0013552926785,560.6633830586674,561.1020658506349,49008700
2025-03-18,559.33740234375,563.3254055013634,557.3832588897637,563.1060336846033,66041400
2025-03-19,565.4290771484375,569.2376275644565,559.9455726652652,561.141985813832,66556000
2025-03-20,563.7940063476562,568.8587877529125,560.9126592589647,561.6405112658884,62958200
2025-03-21,563.97998046875,564.8900146484375,558.030029296875,559.280029296875,83763000
2025-03-24,574.0800170898438,575.1500244140625,570.2000122070312,570.7999877929688,58766800
2025-03-25,575.4600219726562,576.4099731445312,573.6900024414062,575.2999877929688,38355700
2025-03-26,568.5900268554688,576.3300170898438,567.1900024414062,575.1900024414062,51848300
2025-03-27,567.0800170898438,570.9000244140625,564.9400024414062,567.1799926757812,42164200
2025-03-28,555.6599731445312,566.27001953125,555.0700073242188,565.530029296875,71662700
2025-03-31,559.3900146484375,560.7100219726562,546.8699951171875,549.8300170898438,95328200
2025-04-01,560.969970703125,562.9400024414062,553.6799926757812,557.4500122070312,54609600
2025-04-02,564.52001953125,567.4199829101562,554.8099975585938,555.0499877929688,76014500
2025-04-03,536.7000122070312,547.969970703125,536.7000122070312,545.1099853515625,125986000
2025-04-04,505.2799987792969,525.8699951171875,505.05999755859375,523.6699829101562,217965100
2025-04-07,504.3800048828125,523.1699829101562,481.79998779296875,489.19000244140625,256611400
2025-04-08,496.4800109863281,524.97998046875,489.1600036621094,521.8599853515625,165816600
2025-04-09,548.6199951171875,548.6199951171875,493.04998779296875,493.44000244140625,241867300
2025-04-10,524.5800170898438,533.5,509.32000732421875,532.1699829101562,162331200
2025-04-11,533.9400024414062,536.4299926757812,520.0700073242188,523.010009765625,97866300
2025-04-14,539.1199951171875,544.280029296875,533.8599853515625,544.0499877929688,68034000
2025-04-15,537.6099853515625,543.22998046875,536.8099975585938,539.6699829101562,56892900
2025-04-16,525.6599731445312,537.8900146484375,520.2899780273438,531.6799926757812,83484800
2025-04-17,526.4099731445312,531.1699829101562,523.9099731445312,527.6400146484375,79741000
2025-04-21,513.8800048828125,521.7000122070312,508.4599914550781,521.1599731445312,69368100
2025-04-22,527.25,529.2999877929688,519.1900024414062,520.1400146484375,75370700
2025-04-23,541.0,545.344970703125,539.5100708007812,540.4299926757812,24120465
